recorded, trip, voltage, current, power, energy, frequency, pf 
4/5/2021 0:0:1,0,218.600006,1.698000,311.000000,30.082001,50.000000,0.840000
4/5/2021 0:0:1,0,218.600006,1.698000,311.000000,30.082001,50.000000,0.840000
4/5/2021 0:0:2,0,218.600006,1.699000,311.500000,30.082001,50.000000,0.840000
4/5/2021 0:0:3,0,218.300003,1.700000,311.600006,30.083000,50.000000,0.840000
4/5/2021 0:0:4,0,218.300003,1.698000,311.100006,30.083000,50.000000,0.840000
4/5/2021 0:0:5,0,218.300003,1.698000,311.100006,30.083000,50.000000,0.840000
4/5/2021 0:0:6,0,218.199997,1.694000,310.500000,30.083000,50.000000,0.840000
4/5/2021 0:0:7,0,218.199997,1.693000,309.799988,30.083000,50.000000,0.840000
4/5/2021 0:0:8,0,218.300003,1.700000,311.299988,30.083000,50.000000,0.840000
4/5/2021 0:0:9,0,218.300003,1.700000,311.299988,30.083000,50.000000,0.840000
4/5/2021 0:0:10,0,218.199997,1.694000,310.299988,30.083000,50.000000,0.840000
4/5/2021 0:0:11,0,218.199997,1.695000,310.399994,30.083000,50.000000,0.840000
4/5/2021 0:0:12,0,218.199997,1.691000,309.700012,30.083000,50.000000,0.840000
4/5/2021 0:0:13,0,218.199997,1.691000,309.700012,30.083000,50.000000,0.840000
4/5/2021 0:0:14,0,218.300003,1.693000,309.899994,30.084000,50.000000,0.840000
4/5/2021 0:0:15,0,218.300003,1.701000,311.500000,30.084000,50.000000,0.840000
4/5/2021 0:0:16,0,218.300003,1.693000,310.000000,30.084000,50.000000,0.840000
4/5/2021 0:0:17,0,218.300003,1.700000,311.500000,30.084000,50.000000,0.840000
4/5/2021 0:0:18,0,218.300003,1.700000,311.500000,30.084000,50.000000,0.840000
4/5/2021 0:0:19,0,218.399994,1.698000,311.000000,30.084000,50.000000,0.840000
4/5/2021 0:0:20,0,218.500000,1.702000,311.899994,30.084000,50.000000,0.840000
4/5/2021 0:0:21,0,218.399994,1.696000,310.399994,30.084000,50.000000,0.840000
